2026-05-02 14:00:52.603967 | CPU: 6.1% | RAM: 85.5% | Disk: 74.2%
2026-05-02 14:00:54.610969 | CPU: 4.0% | RAM: 85.5% | Disk: 74.2%
2026-05-02 14:00:56.494029 | CPU: 13.1% | RAM: 86.6% | Disk: 74.2%
2026-05-02 14:00:58.457726 | CPU: 4.9% | RAM: 86.6% | Disk: 74.2%
2026-05-02 14:01:00.477937 | CPU: 7.1% | RAM: 86.9% | Disk: 74.2%
2026-05-02 14:01:02.452407 | CPU: 9.8% | RAM: 85.3% | Disk: 74.2%
2026-05-02 14:01:04.468368 | CPU: 10.0% | RAM: 84.8% | Disk: 74.2%
2026-05-02 14:01:06.448902 | CPU: 7.3% | RAM: 84.3% | Disk: 74.2%
2026-05-02 14:01:08.069376 | CPU: 6.4% | RAM: 82.9% | Disk: 74.2%
2026-05-02 14:08:25.478843 | CPU: 18.9% | RAM: 87.7% | Disk: 74.2%
2026-05-02 14:08:27.697286 | CPU: 6.7% | RAM: 87.9% | Disk: 74.2%
2026-05-02 14:08:29.285607 | CPU: 5.7% | RAM: 87.9% | Disk: 74.2%
